current_blog,word,hyperlink
angina-chest-pain-causes-symptoms,Coronary artery disease,coronary-artery-disease
angina-chest-pain-causes-symptoms,Atherosclerosis,atherosclerosis-causes-risk-factors
angina-chest-pain-causes-symptoms,Smoking,quit-smoking-tips
angina-chest-pain-causes-symptoms,Diabetes,living-with-diabetes
angina-chest-pain-causes-symptoms,High blood pressure,controlling-high-blood-pressure
angina-chest-pain-causes-symptoms,Cholesterol,cholesterol-levels
angina-chest-pain-causes-symptoms,Heart Attack,heart-attack-causes-symptoms-prevention
angina-chest-pain-causes-symptoms,Obesity,obesity-is-preventable
angina-chest-pain-causes-symptoms,Stress,managing-stress
angina-chest-pain-causes-symptoms,Anxiety,anxiety-symptoms-remedies
angina-chest-pain-causes-symptoms,Fatigue,fatigue
angina-chest-pain-causes-symptoms,Weight loss,weight-loss-diet-tips
food-weight-loss-healthy-snacks,Weight loss,weight-loss-diet-tips
food-weight-loss-healthy-snacks,Obese,overcoming-obesity-diet-exercise
food-weight-loss-healthy-snacks,Vitamins,vitamin-c-sources-daily-requirement-health-benefits
food-weight-loss-healthy-snacks,vitamin A,vitamin-a-deficiency-causes-prevention
hiv-aids-need-know,Condoms,how-to-use-condoms
hiv-aids-need-know,Fever,viral-fever-causes-home-remedies
hiv-aids-need-know,Headache,headache-types-causes-prevention
hiv-aids-need-know,Sexually transmitted diseases,sexually-transmitted-infections
hiv-aids-need-know,Fatigue,fatigue
hiv-aids-need-know,Diarrhea,diarrhea-causes-types-prevention-tips
hiv-aids-need-know,Blurred vision,cataract
hiv-aids-need-know,Shortness of Breath,acute-bronchitis-causes-symptoms-prevention
hiv-aids-need-know,Tuberculosis,tuberculosis-causes-symptoms-risks
hiv-aids-need-know,Candidiasis,yeast-infection-types-symptoms-home-remedies
hiv-aids-need-know,Meningitis,meningitis-types-causes-symptoms
hiv-aids-need-know,Toxoplasmosis,infection-mononucleosis
hiv-aids-need-know,Lymphomas,lymphoma-types-stages-causes-symptoms
hiv-aids-need-know,Depression,depression-types-causes-management
hiv-aids-need-know,Anxiety,anxiety-symptoms-remedies
hiv-aids-need-know,Dementia,dementia
hiv-aids-need-know,Kidney Disease,kidney-stones-types-causes-remedies
hiv-aids-need-know,Pneumonia,pneumonia
learning-more-about-pregnancy,Weight gain,weight-gain-pregnancy
learning-more-about-pregnancy,Nausea,morning-sickness-early-stages-pregnancy
learning-more-about-pregnancy,Heartburn,heartburn-causes-symptoms-home-remedies
learning-more-about-pregnancy,Pregnancy Test,pregnancy-tests-principle-types
learning-more-about-pregnancy,Fatigue,fatigue
learning-more-about-pregnancy,Smoking,smoking-and-fertility-effects-of-cigarette-smoking
learning-more-about-pregnancy,Caffeine,caffeine
vertigo-causes-symptoms-home-remedies,Difficulty in walking,spinal-muscular-atrophy-sma-types-symptoms-management
vertigo-causes-symptoms-home-remedies,Ear Infection,ear-infection-causes-types-symptoms-prevention
vertigo-causes-symptoms-home-remedies,Headache,headache-types-causes-prevention
vertigo-causes-symptoms-home-remedies,Ginger,ginger-benefits-side-effects
vertigo-causes-symptoms-home-remedies,Honey,honey-composition-benefits-side-effects
vertigo-causes-symptoms-home-remedies,Almonds,folic-acid-functions-sources-daily-requirements
test-tube-baby,Infertility,infertility-symptoms-causes-men-women
test-tube-baby,IVF,ivf-ray-hope-life
test-tube-baby,Polycystic ovary syndrome,pcos-all-you-need-to-know
test-tube-baby,Menstrual Cycle,menstrual-cycle-ovulation-calendar
test-tube-baby,Pregnancy Test,pregnancy-tests-principle-types
test-tube-baby,Ectopic Pregnancy,ectopic-pregnancy-causes-signs-symptoms
test-tube-baby,Signs and symptoms,pregnancy-symptoms-signs
vitamin-e-benefits-sources,Non-alcoholic steatohepatitis,fatty-liver-causes-symptoms
vitamin-e-benefits-sources,Obesity,overcoming-obesity-diet-exercise
vitamin-e-benefits-sources,Fatty acids,omega-3-fatty-acids-health-benefits
vitamin-e-benefits-sources,Cancer,cancer-types-causes-prevention
vitamin-e-benefits-sources,Spinach,folic-acid-functions-sources-daily-requirements
vitamin-e-benefits-sources,Fish,folic-acid-functions-sources-daily-requirements
knowing-menstrual-cramps,Menstrual,understanding-menstrual-cycle
knowing-menstrual-cramps,Stress,managing-stress
knowing-menstrual-cramps,Anxiety,anxiety-symptoms-remedies
knowing-menstrual-cramps,Pelvic inflammatory disease,pid-pelvic-inflammatory-disease
knowing-menstrual-cramps,Diarrhoea,diarrhea-causes-types-prevention-tips
knowing-menstrual-cramps,Headaches,headache-types-causes-prevention
knowing-menstrual-cramps,Periods,irregular-periods-causes-prevention
calcium-importance-dietary-sources,Teeth,dental-cavities-causes-prevention-tips
calcium-importance-dietary-sources,Osteoporosis,bone-density-test-types-osteoporosis
calcium-importance-dietary-sources,Spinach,folic-acid-functions-sources-daily-requirements
calcium-importance-dietary-sources,Inflammatory Bowel Disease,crohns-disease
calcium-importance-dietary-sources,Vitamin D,vitamin-d-sunshine-vitamin
calcium-importance-dietary-sources,Diarrhoea,diarrhea-causes-types-prevention-tips
arthritis-types-causes-symptoms-management,Rheumatoid Arthritis,rheumatoid-arthritis
arthritis-types-causes-symptoms-management,Osteoarthritis,osteoarthritis-causes-symptoms
arthritis-types-causes-symptoms-management,Accupuncture,acupuncture-therapy
arthritis-types-causes-symptoms-management,Psoriatic Arthritis,psoriatic-arthritis-types-causes-signs
arthritis-types-causes-symptoms-management,Lower Back,lower-back-pain-exercises
lower-back-pain-exercises,Arthritis,arthritis-types-causes-symptoms-management
lower-back-pain-exercises,Physical activity,benefits-of-exercise
tackling-typhoid-fever,Salmonella Typhi bacteria,salmonella-infection-causes-symptoms-prevention
tackling-typhoid-fever,Headache,headache-types-causes-prevention
tackling-typhoid-fever,Tiredness,fatigue
tackling-typhoid-fever,Constipation,constipation-causes-symptoms-prevention
tackling-typhoid-fever,Dehydration,dehydration-causes-managing-tips
vaccination-schedule-children,Fever,tips-to-help-control-fever
ketogenic-diet,Protein,protein-shakes-types-benefits
ketogenic-diet,Type 1 Diabetes,type-1-diabetes-symptoms-management
ketogenic-diet,Blood pressure,controlling-high-blood-pressure
ketogenic-diet,Breast Feeding,breastfeeding-things-you-need-to-know
ketogenic-diet,Weight loss,weight-loss-diet-tips
ketogenic-diet,Type 2 Diabetes,type-2-diabetes-causes-symptoms
ketogenic-diet,Epilepsy,epilepsy-management-keto-diet
ketogenic-diet,Orange,oranges-nutritional-facts-health-benefits
ketogenic-diet,Coconut water,coconut-water-various-health-benefits
ketogenic-diet,Watermelon,watermelon-nutritional-content-health-benefits
ketogenic-diet,Spinach,folic-acid-functions-sources-daily-requirements
ketogenic-diet,Pineapple,pineapple-nutritional-facts-benefits
ketogenic-diet,Nut,nuts
ketogenic-diet,Milk,milk-dairy-product-types-nutrition
ketogenic-diet,Tea,tea-health-benefits-types-side-effects
ketogenic-diet,Coconut oil,coconut-oil-healthy-oil
ketogenic-diet,Eggs,eggs-nutritional-benefits
herpes-causes-symptoms-risk-factors,Cold sores,cold-sores-causes-management-prevention
herpes-causes-symptoms-risk-factors,Genital Herpes,genital-herpes-sti-causes-symptoms
herpes-causes-symptoms-risk-factors,Pregnant,pregnancy-vaccines-protect-baby
herpes-causes-symptoms-risk-factors,Fatigue,fatigue
herpes-causes-symptoms-risk-factors,AIDS,hiv-aids-need-know
herpes-causes-symptoms-risk-factors,Chemotherapy,chemotherapy-fighting-cancer-chemo
herpes-causes-symptoms-risk-factors,Trauma,ptsd-post-traumatic-stress-disorder
herpes-causes-symptoms-risk-factors,Menstruation,understanding-menstrual-cycle
herpes-causes-symptoms-risk-factors,Sexually transmitted infections,sexually-transmitted-infections
herpes-causes-symptoms-risk-factors,Unprotected sex,how-to-use-condoms
1-8-weeks-pregnant-expect,Menstrual Cycle,understanding-menstrual-cycle
1-8-weeks-pregnant-expect,Ovulation,menstrual-cycle-ovulation-calendar
1-8-weeks-pregnant-expect,Morning Sickness,morning-sickness-early-stages-pregnancy
1-8-weeks-pregnant-expect,Fatigue,fatigue
1-8-weeks-pregnant-expect,Weight gain,weight-gain-pregnancy
1-8-weeks-pregnant-expect,Heart Burn,heartburn-causes-symptoms-home-remedies
1-8-weeks-pregnant-expect,Vaginal Discharge,vaginal-discharge-causes-home-remedies
1-8-weeks-pregnant-expect,Smoking,quit-smoking-tips
1-8-weeks-pregnant-expect,Balanced Diet,balanced-diet-eat-well-healthy-life
keto-diet-foods-eat-avoid,Keto Diet,ketogenic-diet
keto-diet-foods-eat-avoid,Protein,protein-shakes-types-benefits
keto-diet-foods-eat-avoid,Weight loss,weight-loss-diet-tips
keto-diet-foods-eat-avoid,Healthy fats,the-good-fat
keto-diet-foods-eat-avoid,Omega fatty acids,omega-3-fatty-acids-health-benefits
keto-diet-foods-eat-avoid,Almonds,folic-acid-functions-sources-daily-requirements
keto-diet-foods-eat-avoid,Nuts,nuts
keto-diet-foods-eat-avoid,Avocado,avocado-fruit
keto-diet-foods-eat-avoid,Onion,onion-nutritional-facts-health-benefits
keto-diet-foods-eat-avoid,Eggplants,eggplant-nutritional-facts-health-benefits
atkins-diet-low-carb-diet,Eggs,eggs-nutritional-benefits
atkins-diet-low-carb-diet,Weight loss,weight-loss-diet-tips
atkins-diet-low-carb-diet,Coconut oil,coconut-oil-healthy-oil
atkins-diet-low-carb-diet,Avocado,avocado-fruit
atkins-diet-low-carb-diet,Spinach,folic-acid-functions-sources-daily-requirements
atkins-diet-low-carb-diet,Eggplant,eggplant-nutritional-facts-health-benefits
atkins-diet-low-carb-diet,Watermelon,watermelon-nutritional-content-health-benefits
atkins-diet-low-carb-diet,Pineapple,pineapple-nutritional-facts-benefits
atkins-diet-low-carb-diet,Pregnant,learning-more-about-pregnancy
atkins-diet-low-carb-diet,Breastfeeding,breastfeeding-things-you-need-to-know
atkins-diet-low-carb-diet,kidney disorders,kidney-stones-types-causes-remedies
anti-inflammatory-diet-foods-eat-avoid,Arthritis,arthritis-types-causes-symptoms-management
anti-inflammatory-diet-foods-eat-avoid,Osteoarthritis,osteoarthritis-causes-symptoms
anti-inflammatory-diet-foods-eat-avoid,Rheumatoid Arthritis,rheumatoid-arthritis
anti-inflammatory-diet-foods-eat-avoid,Spondylitis,spondylitis-causes-symptoms-treatment
anti-inflammatory-diet-foods-eat-avoid,Psoriatic arthritis,psoriatic-arthritis-types-causes-signs
anti-inflammatory-diet-foods-eat-avoid,Proteins,protein-shakes-types-benefits
anti-inflammatory-diet-foods-eat-avoid,omega-3 fatty acids,omega-3-fatty-acids-health-benefits
anti-inflammatory-diet-foods-eat-avoid,Spinach,folic-acid-functions-sources-daily-requirements
anti-inflammatory-diet-foods-eat-avoid,Onions,onion-nutritional-facts-health-benefits
anti-inflammatory-diet-foods-eat-avoid,Oranges,oranges-nutritional-facts-health-benefits
anti-inflammatory-diet-foods-eat-avoid,Ginger,ginger-benefits-side-effects
anti-inflammatory-diet-foods-eat-avoid,Green Tea,green-tea-cup-goodness
anti-inflammatory-diet-foods-eat-avoid,Almonds,folic-acid-functions-sources-daily-requirements
anti-inflammatory-diet-foods-eat-avoid,Nut,nuts
anti-inflammatory-diet-foods-eat-avoid,Quinoa,quinoa-good-start-healthy-diet
anti-inflammatory-diet-foods-eat-avoid,Inflammatory Bowel Disease,crohns-disease
anti-inflammatory-diet-foods-eat-avoid,Obesity,obesity-is-preventable
anti-inflammatory-diet-foods-eat-avoid,Diabetes,living-with-diabetes
anti-inflammatory-diet-foods-eat-avoid,Cancer,cancer-types-causes-prevention
anti-inflammatory-diet-foods-eat-avoid,Asthma,knowing-asthma
anxiety-symptoms-remedies,Phobia,phobia-excessive-fear
anxiety-symptoms-remedies,General Anxiety Disorder,generalized-anxiety-disorder-gad-causes-symptoms
anxiety-symptoms-remedies,Insomnia,insomnia-types-causes-remedies
anxiety-symptoms-remedies,Yoga,yoga-introduction-types-benefits
anxiety-symptoms-remedies,caffeine,caffeine
anxiety-symptoms-remedies,Smoking,quit-smoking-tips
anxiety-symptoms-remedies,Tea,tea-health-benefits-types-side-effects
cholesterol-levels,Cholesterol,cholesterol-healthy-diet-exercise
cholesterol-levels,Stroke,cerebrovascular-accident-stroke-risk-factors
bronchitis-types-symptoms-remedies,Cough,whooping-cough
bronchitis-types-symptoms-remedies,Smoking,quit-smoking-tips
bronchitis-types-symptoms-remedies,Flu,flu-symptoms-management
bronchitis-types-symptoms-remedies,COPD,chronic-obstructive-pulmonary-disease-copd
bronchitis-types-symptoms-remedies,Fever,viral-fever-causes-home-remedies
bronchitis-types-symptoms-remedies,Headaches,headache-types-causes-prevention
bronchitis-types-symptoms-remedies,Sinuses,understanding-sinusitis
bronchitis-types-symptoms-remedies,Honey,honey-composition-benefits-side-effects
bronchitis-types-symptoms-remedies,Tea,tea-health-benefits-types-side-effects
bronchitis-types-symptoms-remedies,Onion,onion-nutritional-facts-health-benefits
raynauds-syndrome-causes-symptoms,Smoking,quit-smoking-tips
raynauds-syndrome-causes-symptoms,Carpal tunnel syndrome,carpal-tunnel-syndrome
controlling-high-blood-pressure,Hypertension,dash-diet-for-hypertension-high-blood-pressure
controlling-high-blood-pressure,Sleep deprived,sleep-deprivation-new-moms-overview
controlling-high-blood-pressure,Alcohol,alcohol-overdose-effect-health-society
controlling-high-blood-pressure,Excess weight,obesity-is-preventable
controlling-high-blood-pressure,Kidney disease,kidney-problems
controlling-high-blood-pressure,Diabetes,diabetes-types-causes-management
controlling-high-blood-pressure,Apnoea,sleep-apnea-causes-symptoms-prevention
controlling-high-blood-pressure,Cushing's syndrome,cushings-syndrome-causes-symptoms
controlling-high-blood-pressure,Scleroderma,scleroderma
controlling-high-blood-pressure,Loss of memory,amnesia-loss-memory-causes-symptoms
controlling-high-blood-pressure,Headache,headache-types-causes-prevention
controlling-high-blood-pressure,Heart Attack,heart-attack-causes-symptoms-prevention
controlling-high-blood-pressure,Stroke,cerebrovascular-accident-stroke-risk-factors
controlling-high-blood-pressure,Protein,protein-shakes-types-benefits
controlling-high-blood-pressure,Fruits,fruits-nutritional-benefits
controlling-high-blood-pressure,Smoking,quit-smoking-tips
controlling-high-blood-pressure,Addison’s disease,addisons-disease-causes-symptoms
astigmatism-abnormality-vision,Squinting,strabismus-squint-or-cross-eyed-causes-symptoms
******,,
